season,match,comp,round,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_first,assist_last,assist_1st,assist_2nd,note,expanded_note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,og_scorer,og_assist_official,og_assist_1st,og_assist_2nd
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,25,25,3,0,3,Luisa,Bergmann,Annika,Herbig,Herbig,Lau,,,bergmann,herbig,herbig,lau,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,32,32,4,0,4,Luisa,Bergmann,,,,,Penalty,No Assists (Penalty),bergmann,,,,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,39,39,5,0,5,Annika,Herbig,Virginia,Glänzer,Glänzer,Kaul,,,herbig,glanzer,glanzer,kaul,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,48,48,6,0,6,Annika,Herbig,Virginia,Glänzer,Glänzer,Zabell,,,herbig,glanzer,glanzer,zabell,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,51,51,7,0,7,Virginia,Glänzer,,,Lau,Herbig,,No Official Assist (Lau shot hit crossbar and fell to Glänzer),glanzer,,lau,herbig,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,55,55,8,0,8,Ann-Katrin,Lau,Kimberly,Becker,Becker,Bergmann,,,lau,becker,becker,bergmann,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,63,63,9,0,9,Hannah,Goosmann,Virginia,Glänzer,Glänzer,Zabell,,,goosmann,glanzer,glanzer,zabell,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,74,74,10,0,10,Annika,Billig,Ann-Katrin,Lau,Lau,Gerres,,,billig,lau,lau,gerres,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,38,38,1,0,1,Ana,Zabell,Luisa,Bergmann,Bergmann,,,No Official Assist (Corner struck defender); No Second Assist (Bergmann Corner),zabell,bergmann,bergmann,,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,45+1,45.1,2,0,2,Ann-Katrin,Lau,Vanessa,Heim,Heim,Bergmann,,,lau,heim,heim,bergmann,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,53,53,3,0,3,Vanessa,Heim,Lea,Rogge-Herper,Rogge-Herper,Zabell,,,heim,rogge-herper,rogge-herper,zabell,,,,
