season,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd
2015-16,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,57,57,2,1,1,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Gündoğan,,aubameyang,kagawa,kagawa,gundogan
2015-16,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,61,61,3,1,2,Mats,Hummels,,Mkhitaryan,Kagawa,No Official Assist (Mkhitaryan shot blocked and fell to Hummels),hummels,,mkhitaryan,kagawa
2015-16,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,86,86,4,1,3,Adrián,Ramos,Piszczek,Piszczek,Gündoğan,,ramos,piszczek,piszczek,gundogan
2015-16,DFB-Pokal,R16,3,2015-12-16,Augsburg,Away,61,61,1,0,1,Pierre-Emerick,Aubameyang,Piszczek,Piszczek,Mkhitaryan,,aubameyang,piszczek,piszczek,mkhitaryan
2015-16,DFB-Pokal,R16,3,2015-12-16,Augsburg,Away,66,66,2,0,2,Henrikh,Mkhitaryan,Kagawa,Kagawa,Schmelzer,,mkhitaryan,kagawa,kagawa,schmelzer
2015-16,Bundesliga,MD17,17,2015-12-19,Köln,Away,18,18,1,0,1,Sokratis,Papastathopoulos,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan corner),papastathopoulos,mkhitaryan,mkhitaryan,
2015-16,Bundesliga,MD18,18,2016-01-23,Gladbach,Away,41,41,1,0,1,Marco,Reus,Gündoğan,Gündoğan,Bürki,,reus,gundogan,gundogan,burki
2015-16,Bundesliga,MD18,18,2016-01-23,Gladbach,Away,50,50,2,0,2,Henrikh,Mkhitaryan,Reus,Reus,Gündoğan,,mkhitaryan,reus,reus,gundogan
2015-16,Bundesliga,MD18,18,2016-01-23,Gladbach,Away,75,75,3,1,2,İlkay,Gündoğan,Mkhitaryan,Mkhitaryan,Papastathopoulos,,gundogan,mkhitaryan,mkhitaryan,papastathopoulos
2015-16,Bundesliga,MD19,19,2016-01-30,Ingolstadt 04,Home,77,77,1,0,1,Pierre-Emerick,Aubameyang,Piszczek,Piszczek,Hummels,,aubameyang,piszczek,piszczek,hummels
2015-16,Bundesliga,MD19,19,2016-01-30,Ingolstadt 04,Home,86,86,2,0,2,Pierre-Emerick,Aubameyang,Castro,Castro,Leitner,,aubameyang,castro,castro,leitner
2015-16,DFB-Pokal,QF,4,2016-02-09,Stuttgart,Away,5,5,1,0,1,Marco,Reus,,Aubameyang,Mkhitaryan,No Official Assist (Unclear why),reus,,aubameyang,mkhitaryan
2015-16,DFB-Pokal,QF,4,2016-02-09,Stuttgart,Away,31,31,2,1,1,Pierre-Emerick,Aubameyang,,Reus,Piszczek,No Official Assist (Unclear why),aubameyang,,reus,piszczek
2015-16,DFB-Pokal,QF,4,2016-02-09,Stuttgart,Away,89,89,3,1,2,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,,No 2nd Assist (Aubameyang won the ball),mkhitaryan,aubameyang,aubameyang,
2015-16,Bundesliga,MD21,21,2016-02-13,Hannover 96,Home,57,57,1,0,1,Henrikh,Mkhitaryan,Reus,Reus,Gündoğan,,mkhitaryan,reus,reus,gundogan
2015-16,Europa League,R32-1,7,2016-02-18,Porto,Home,6,6,1,0,1,Łukasz,Piszczek,Mkhitaryan,Mkhitaryan,Kagawa,,piszczek,mkhitaryan,mkhitaryan,kagawa
2015-16,Europa League,R32-1,7,2016-02-18,Porto,Home,71,71,2,0,2,Marco,Reus,Mkhitaryan,Mkhitaryan,Kagawa,,reus,mkhitaryan,mkhitaryan,kagawa
2015-16,Bundesliga,MD22,22,2016-02-21,Leverkusen,Away,64,64,1,0,1,Pierre-Emerick,Aubameyang,Durm,Durm,Reus,,aubameyang,durm,durm,reus
2015-16,Europa League,R32-2,8,2016-02-25,Porto,Away,23,23,1,0,1,Pierre-Emerick,Aubameyang,,Reus,Mkhitaryan,Own Goal awarded to Aubameyang,aubameyang,,reus,mkhitaryan
2015-16,Bundesliga,MD23,23,2016-02-28,Hoffenheim,Home,80,80,1,1,0,Henrikh,Mkhitaryan,Gündoğan,Gündoğan,Leitner,Combination (Leitner to Mkhitaryan to Gündoğan to Mkhitaryan),mkhitaryan,gundogan,gundogan,leitner
2015-16,Bundesliga,MD23,23,2016-02-28,Hoffenheim,Home,85,85,2,1,1,Adrián,Ramos,Piszczek,Piszczek,Gündoğan,,ramos,piszczek,piszczek,gundogan
2015-16,Bundesliga,MD23,23,2016-02-28,Hoffenheim,Home,90+2,90.2,3,1,2,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Ramos,,aubameyang,mkhitaryan,mkhitaryan,ramos
2015-16,Bundesliga,MD24,24,2016-03-02,Darmstadt 98,Away,38,38,1,0,1,Adrián,Ramos,,Aubameyang,Castro,No Official Assist (Aubameyang shot saved and fell to Ramos),ramos,,aubameyang,castro
2015-16,Bundesliga,MD24,24,2016-03-02,Darmstadt 98,Away,53,53,2,0,2,Erik,Durm,Castro,Castro,Weigl,,durm,castro,castro,weigl
2015-16,Europa League,R16-1,9,2016-03-10,Tottenham,Home,30,30,1,0,1,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Castro,,aubameyang,schmelzer,schmelzer,castro
2015-16,Europa League,R16-1,9,2016-03-10,Tottenham,Home,61,61,2,0,2,Marco,Reus,Subotić,Subotić,Castro,,reus,subotic,subotic,castro
2015-16,Europa League,R16-1,9,2016-03-10,Tottenham,Home,70,70,3,0,3,Marco,Reus,Castro,Castro,Aubameyang,,reus,castro,castro,aubameyang
2015-16,Bundesliga,MD26,26,2016-03-13,Mainz 05,Home,30,30,1,0,1,Marco,Reus,Castro,Castro,Papastathopoulos,,reus,castro,castro,papastathopoulos
2015-16,Bundesliga,MD26,26,2016-03-13,Mainz 05,Home,73,73,2,0,2,Shinji,Kagawa,Aubameyang,Aubameyang,Mkhitaryan,,kagawa,aubameyang,aubameyang,mkhitaryan
2015-16,Europa League,R16-2,10,2016-03-17,Tottenham,Away,24,24,1,0,1,Pierre-Emerick,Aubameyang,Castro,Castro,,No 2nd Assist (Castro won the ball),aubameyang,castro,castro,
2015-16,Europa League,R16-2,10,2016-03-17,Tottenham,Away,70,70,2,0,2,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Weigl,,aubameyang,mkhitaryan,mkhitaryan,weigl
2015-16,Bundesliga,MD27,27,2016-03-20,Augsburg,Away,45,45,1,1,0,Henrikh,Mkhitaryan,Şahin,Şahin,Reus,,mkhitaryan,sahin,sahin,reus
2015-16,Bundesliga,MD27,27,2016-03-20,Augsburg,Away,69,69,2,1,1,Gonzalo,Castro,Ramos,Ramos,Hummels,,castro,ramos,ramos,hummels
2015-16,Bundesliga,MD27,27,2016-03-20,Augsburg,Away,75,75,3,1,2,Adrián,Ramos,,Leitner,Mkhitaryan,No Official Assist (Ramos scored on his own rebound),ramos,,leitner,mkhitaryan
2015-16,Bundesliga,MD28,28,2016-04-02,Werder Bremen,Home,53,53,1,0,1,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Reus,,aubameyang,mkhitaryan,mkhitaryan,reus
2015-16,Bundesliga,MD28,28,2016-04-02,Werder Bremen,Home,77,77,2,2,0,Shinji,Kagawa,Schmelzer,Schmelzer,Castro,,kagawa,schmelzer,schmelzer,castro
2015-16,Bundesliga,MD28,28,2016-04-02,Werder Bremen,Home,82,82,3,2,1,Adrián,Ramos,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan corner),ramos,mkhitaryan,mkhitaryan,
2015-16,Europa League,QF-1,11,2016-04-07,Liverpool,Home,48,48,1,1,0,Mats,Hummels,Mkhitaryan,Mkhitaryan,Castro,,hummels,mkhitaryan,mkhitaryan,castro
2015-16,Bundesliga,MD29,29,2016-04-10,Schalke 04,Away,49,49,1,0,1,Shinji,Kagawa,Leitner,Leitner,Şahin,Combination (Şahin to Leitner to Kagawa to Leitner to Kagawa),kagawa,leitner,leitner,sahin
2015-16,Bundesliga,MD29,29,2016-04-10,Schalke 04,Away,56,56,2,1,1,Matthias,Ginter,,Mkhitaryan,,No Official Assist (Mkhitaryan free kick blocked and fell to Ginter); No 2nd Assist (Mkhitaryan free kick),ginter,,mkhitaryan,
2015-16,Europa League,QF-2,12,2016-04-14,Liverpool,Away,5,5,1,0,1,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,Castro,,mkhitaryan,aubameyang,aubameyang,castro
