season,id,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2015-16,15-16-068,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,70,70,4,0,4,Henrikh,Mkhitaryan,Piszczek,Piszczek,Hummels,Combination (Hummels to Mkhitaryan to Piszczek to Mkhitaryan),mkhitaryan,piszczek,piszczek,hummels,inactive,
2015-16,15-16-069,Bundesliga,MD12,12,2015-11-08,Schalke 04,Home,30,30,1,0,1,Shinji,Kagawa,Ginter,Ginter,Castro,,kagawa,ginter,ginter,castro,inactive,
2015-16,15-16-070,Bundesliga,MD12,12,2015-11-08,Schalke 04,Home,43,43,2,1,1,Matthias,Ginter,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan corner),ginter,mkhitaryan,mkhitaryan,,inactive,
2015-16,15-16-071,Bundesliga,MD12,12,2015-11-08,Schalke 04,Home,47,47,3,1,2,Pierre-Emerick,Aubameyang,Castro,Castro,Mkhitaryan,,aubameyang,castro,castro,mkhitaryan,inactive,
2015-16,15-16-072,Bundesliga,MD13,13,2015-11-20,Hamburger SV,Away,86,86,1,3,-2,Pierre-Emerick,Aubameyang,Januzaj,Januzaj,Mkhitaryan,,aubameyang,januzaj,januzaj,mkhitaryan,inactive,
2015-16,15-16-073,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,3,3,1,0,1,Gonzalo,Castro,,Mkhitaryan,Reus,No Official Assist (Mkhitaryan shot saved and fell to Castro),castro,,mkhitaryan,reus,inactive,
2015-16,15-16-074,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,19,19,2,0,2,Pierre-Emerick,Aubameyang,Castro,Castro,Bender,,aubameyang,castro,castro,bender,inactive,
2015-16,15-16-075,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,65,65,3,1,2,Marco,Reus,,Schmelzer,Weigl,Own Goal awarded to Reus,reus,,schmelzer,weigl,active,
2015-16,15-16-076,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,90+1,90.1,4,1,3,Pierre-Emerick,Aubameyang,Ramos,Ramos,Weigl,,aubameyang,ramos,ramos,weigl,inactive,
2015-16,15-16-077,Bundesliga,MD15,15,2015-12-05,Wolfsburg,Away,32,32,1,0,1,Marco,Reus,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan won the ball),reus,mkhitaryan,mkhitaryan,,active,
2015-16,15-16-078,Bundesliga,MD15,15,2015-12-05,Wolfsburg,Away,90+3,90.3,2,1,1,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Piszczek,,kagawa,mkhitaryan,mkhitaryan,piszczek,inactive,
2015-16,15-16-079,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,24,24,1,1,0,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,Hummels,,mkhitaryan,aubameyang,aubameyang,hummels,inactive,
2015-16,15-16-080,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,57,57,2,1,1,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Gündoğan,,aubameyang,kagawa,kagawa,gundogan,inactive,
2015-16,15-16-081,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,61,61,3,1,2,Mats,Hummels,,Mkhitaryan,Kagawa,No Official Assist (Mkhitaryan shot blocked and fell to Hummels),hummels,,mkhitaryan,kagawa,active,
2015-16,15-16-082,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,86,86,4,1,3,Adrián,Ramos,Piszczek,Piszczek,Gündoğan,,ramos,piszczek,piszczek,gundogan,inactive,
2015-16,15-16-083,DFB-Pokal,R16,3,2015-12-16,Augsburg,Away,61,61,1,0,1,Pierre-Emerick,Aubameyang,Piszczek,Piszczek,Mkhitaryan,,aubameyang,piszczek,piszczek,mkhitaryan,inactive,
2015-16,15-16-084,DFB-Pokal,R16,3,2015-12-16,Augsburg,Away,66,66,2,0,2,Henrikh,Mkhitaryan,Kagawa,Kagawa,Schmelzer,,mkhitaryan,kagawa,kagawa,schmelzer,inactive,
2015-16,15-16-085,Bundesliga,MD17,17,2015-12-19,Köln,Away,18,18,1,0,1,Sokratis,Papastathopoulos,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan corner),papastathopoulos,mkhitaryan,mkhitaryan,,inactive,
2015-16,15-16-086,Bundesliga,MD18,18,2016-01-23,Gladbach,Away,41,41,1,0,1,Marco,Reus,Gündoğan,Gündoğan,Bürki,,reus,gundogan,gundogan,burki,active,
2015-16,15-16-087,Bundesliga,MD18,18,2016-01-23,Gladbach,Away,50,50,2,0,2,Henrikh,Mkhitaryan,Reus,Reus,Gündoğan,,mkhitaryan,reus,reus,gundogan,inactive,
2015-16,15-16-088,Bundesliga,MD18,18,2016-01-23,Gladbach,Away,75,75,3,1,2,İlkay,Gündoğan,Mkhitaryan,Mkhitaryan,Papastathopoulos,,gundogan,mkhitaryan,mkhitaryan,papastathopoulos,inactive,
2015-16,15-16-089,Bundesliga,MD19,19,2016-01-30,Ingolstadt 04,Home,77,77,1,0,1,Pierre-Emerick,Aubameyang,Piszczek,Piszczek,Hummels,,aubameyang,piszczek,piszczek,hummels,inactive,
2015-16,15-16-090,Bundesliga,MD19,19,2016-01-30,Ingolstadt 04,Home,86,86,2,0,2,Pierre-Emerick,Aubameyang,Castro,Castro,Leitner,,aubameyang,castro,castro,leitner,inactive,
2015-16,15-16-091,DFB-Pokal,QF,4,2016-02-09,Stuttgart,Away,5,5,1,0,1,Marco,Reus,,Aubameyang,Mkhitaryan,No Official Assist (Unclear why),reus,,aubameyang,mkhitaryan,active,
2015-16,15-16-092,DFB-Pokal,QF,4,2016-02-09,Stuttgart,Away,31,31,2,1,1,Pierre-Emerick,Aubameyang,,Reus,Piszczek,No Official Assist (Unclear why),aubameyang,,reus,piszczek,inactive,
2015-16,15-16-093,DFB-Pokal,QF,4,2016-02-09,Stuttgart,Away,89,89,3,1,2,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,,No 2nd Assist (Aubameyang won the ball),mkhitaryan,aubameyang,aubameyang,,inactive,
2015-16,15-16-094,Bundesliga,MD21,21,2016-02-13,Hannover 96,Home,57,57,1,0,1,Henrikh,Mkhitaryan,Reus,Reus,Gündoğan,,mkhitaryan,reus,reus,gundogan,inactive,
2015-16,15-16-095,Europa League,R32-1,7,2016-02-18,Porto,Home,6,6,1,0,1,Łukasz,Piszczek,Mkhitaryan,Mkhitaryan,Kagawa,,piszczek,mkhitaryan,mkhitaryan,kagawa,active,
2015-16,15-16-096,Europa League,R32-1,7,2016-02-18,Porto,Home,71,71,2,0,2,Marco,Reus,Mkhitaryan,Mkhitaryan,Kagawa,,reus,mkhitaryan,mkhitaryan,kagawa,active,
2015-16,15-16-097,Bundesliga,MD22,22,2016-02-21,Leverkusen,Away,64,64,1,0,1,Pierre-Emerick,Aubameyang,Durm,Durm,Reus,,aubameyang,durm,durm,reus,inactive,
2015-16,15-16-098,Europa League,R32-2,8,2016-02-25,Porto,Away,23,23,1,0,1,Pierre-Emerick,Aubameyang,,Reus,Mkhitaryan,Own Goal awarded to Aubameyang,aubameyang,,reus,mkhitaryan,inactive,
2015-16,15-16-099,Bundesliga,MD23,23,2016-02-28,Hoffenheim,Home,80,80,1,1,0,Henrikh,Mkhitaryan,Gündoğan,Gündoğan,Leitner,Combination (Leitner to Mkhitaryan to Gündoğan to Mkhitaryan),mkhitaryan,gundogan,gundogan,leitner,inactive,
2015-16,15-16-100,Bundesliga,MD23,23,2016-02-28,Hoffenheim,Home,85,85,2,1,1,Adrián,Ramos,Piszczek,Piszczek,Gündoğan,,ramos,piszczek,piszczek,gundogan,inactive,
2015-16,15-16-101,Bundesliga,MD23,23,2016-02-28,Hoffenheim,Home,90+2,90.2,3,1,2,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Ramos,,aubameyang,mkhitaryan,mkhitaryan,ramos,inactive,
2015-16,15-16-102,Bundesliga,MD24,24,2016-03-02,Darmstadt 98,Away,38,38,1,0,1,Adrián,Ramos,,Aubameyang,Castro,No Official Assist (Aubameyang shot saved and fell to Ramos),ramos,,aubameyang,castro,inactive,
2015-16,15-16-103,Bundesliga,MD24,24,2016-03-02,Darmstadt 98,Away,53,53,2,0,2,Erik,Durm,Castro,Castro,Weigl,,durm,castro,castro,weigl,inactive,
2015-16,15-16-104,Europa League,R16-1,9,2016-03-10,Tottenham,Home,30,30,1,0,1,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Castro,,aubameyang,schmelzer,schmelzer,castro,inactive,
2015-16,15-16-105,Europa League,R16-1,9,2016-03-10,Tottenham,Home,61,61,2,0,2,Marco,Reus,Subotić,Subotić,Castro,,reus,subotic,subotic,castro,active,
2015-16,15-16-106,Europa League,R16-1,9,2016-03-10,Tottenham,Home,70,70,3,0,3,Marco,Reus,Castro,Castro,Aubameyang,,reus,castro,castro,aubameyang,active,
2015-16,15-16-107,Bundesliga,MD26,26,2016-03-13,Mainz 05,Home,30,30,1,0,1,Marco,Reus,Castro,Castro,Papastathopoulos,,reus,castro,castro,papastathopoulos,active,
2015-16,15-16-108,Bundesliga,MD26,26,2016-03-13,Mainz 05,Home,73,73,2,0,2,Shinji,Kagawa,Aubameyang,Aubameyang,Mkhitaryan,,kagawa,aubameyang,aubameyang,mkhitaryan,inactive,
2015-16,15-16-109,Europa League,R16-2,10,2016-03-17,Tottenham,Away,24,24,1,0,1,Pierre-Emerick,Aubameyang,Castro,Castro,,No 2nd Assist (Castro won the ball),aubameyang,castro,castro,,inactive,
2015-16,15-16-110,Europa League,R16-2,10,2016-03-17,Tottenham,Away,70,70,2,0,2,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Weigl,,aubameyang,mkhitaryan,mkhitaryan,weigl,inactive,
2015-16,15-16-111,Bundesliga,MD27,27,2016-03-20,Augsburg,Away,45,45,1,1,0,Henrikh,Mkhitaryan,Şahin,Şahin,Reus,,mkhitaryan,sahin,sahin,reus,inactive,
2015-16,15-16-112,Bundesliga,MD27,27,2016-03-20,Augsburg,Away,69,69,2,1,1,Gonzalo,Castro,Ramos,Ramos,Hummels,,castro,ramos,ramos,hummels,inactive,
