season,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2016-17,Bundesliga,MD23,23,2017-03-04,Leverkusen,Home,6,6,1,0,1,Ousmane,Dembélé,,Piszczek,Castro,No Official Assist (Piszczek pass blocked and fell to Dembélé),dembele,,piszczek,castro,inactive,
2016-17,Bundesliga,MD23,23,2017-03-04,Leverkusen,Home,26,26,2,0,2,Pierre-Emerick,Aubameyang,,Bartra,Reus,No Official Assist (Bartra shot blocked and fell to Aubameyang),aubameyang,,bartra,reus,inactive,
2016-17,Bundesliga,MD23,23,2017-03-04,Leverkusen,Home,69,69,3,1,2,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Guerreiro,Guerreiro free kick blocked and fell to Dembélé,aubameyang,dembele,dembele,guerreiro,inactive,
2016-17,Bundesliga,MD23,23,2017-03-04,Leverkusen,Home,77,77,4,2,2,Christian,Pulisic,Durm,Durm,Castro,,pulisic,durm,durm,castro,inactive,
2016-17,Bundesliga,MD23,23,2017-03-04,Leverkusen,Home,85,85,5,2,3,André,Schürrle,,,,No Assists (Penalty),schurrle,,,,inactive,
2016-17,Bundesliga,MD23,23,2017-03-04,Leverkusen,Home,90+2,90.2,6,2,4,Raphaël,Guerreiro,Pulisic,Pulisic,Kagawa,,guerreiro,pulisic,pulisic,kagawa,active,
2016-17,Bundesliga,MD24,24,2017-03-11,Hertha BSC,Away,55,55,1,1,0,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Guerreiro,,aubameyang,kagawa,kagawa,guerreiro,inactive,
2016-17,Bundesliga,MD25,25,2017-03-17,Ingolstadt 04,Home,14,14,1,0,1,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Kagawa,,aubameyang,schmelzer,schmelzer,kagawa,inactive,
2016-17,Bundesliga,MD26,26,2017-04-01,Schalke 04,Away,53,53,1,0,1,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Dembélé,,aubameyang,kagawa,kagawa,dembele,inactive,
2016-17,Bundesliga,MD27,27,2017-04-04,Hamburger SV,Home,13,13,1,0,1,Gonzalo,Castro,,,,No Assists (Free kick),castro,,,,inactive,
2016-17,Bundesliga,MD27,27,2017-04-04,Hamburger SV,Home,81,81,2,0,2,Shinji,Kagawa,Aubameyang,Aubameyang,Passlack,,kagawa,aubameyang,aubameyang,passlack,inactive,
2016-17,Bundesliga,MD27,27,2017-04-04,Hamburger SV,Home,90+2,90.2,3,0,3,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,,,aubameyang,kagawa,kagawa,,inactive,incomplete
2016-17,Bundesliga,MD28,28,2017-04-08,Bayern Munich,Away,20,20,1,2,-1,Raphaël,Guerreiro,,Passlack,Aubameyang,No Assists (Passlack's pass cleared to Guerreiro),guerreiro,,passlack,aubameyang,active,
2016-17,Bundesliga,MD29,29,2017-04-15,Frankfurt,Home,3,3,1,0,1,Marco,Reus,Pulisic,Pulisic,Aubameyang,,reus,pulisic,pulisic,aubameyang,active,
2016-17,Bundesliga,MD29,29,2017-04-15,Frankfurt,Home,34,34,2,1,1,Sokratis,Papastathopoulos,Bender,Bender,,,papastathopoulos,bender,bender,,inactive,incomplete
2016-17,Bundesliga,MD29,29,2017-04-15,Frankfurt,Home,86,86,3,1,2,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Şahin,,aubameyang,dembele,dembele,sahin,inactive,
2016-17,Bundesliga,MD30,30,2017-04-22,Gladbach,Away,10,10,1,0,1,Marco,Reus,,,,No Assists (Penalty),reus,,,,active,
2016-17,Bundesliga,MD30,30,2017-04-22,Gladbach,Away,59,59,2,2,0,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,,,aubameyang,dembele,dembele,,inactive,incomplete
2016-17,Bundesliga,MD30,30,2017-04-22,Gladbach,Away,87,87,3,2,1,Raphaël,Guerreiro,Castro,Castro,,No Second Assist (Castro free kick),guerreiro,castro,castro,,active,
2016-17,Bundesliga,MD32,32,2017-05-06,Hoffenheim,Home,4,4,1,0,1,Marco,Reus,Castro,Castro,Guerreiro,,reus,castro,castro,guerreiro,active,
2016-17,Bundesliga,MD32,32,2017-05-06,Hoffenheim,Home,82,82,2,0,2,Pierre-Emerick,Aubameyang,,Guerreiro,Piszczek,No Official Assist (Guerreiro shot off bar and fell to Aubameyang),aubameyang,,guerreiro,piszczek,inactive,
2016-17,Bundesliga,MD33,33,2017-05-13,Augsburg,Away,32,32,1,1,0,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Durm,,aubameyang,kagawa,kagawa,durm,inactive,
2016-17,Bundesliga,MD34,34,2017-05-20,Werder Bremen,Home,32,32,1,1,0,Marco,Reus,Kagawa,Kagawa,Şahin,,reus,kagawa,kagawa,sahin,active,
2016-17,Bundesliga,MD34,34,2017-05-20,Werder Bremen,Home,42,42,2,1,1,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Kagawa,,aubameyang,dembele,dembele,kagawa,inactive,
2016-17,Bundesliga,MD34,34,2017-05-20,Werder Bremen,Home,75,75,3,3,0,Marco,Reus,,,,No Assists (Penalty),reus,,,,active,
2016-17,Bundesliga,MD34,34,2017-05-20,Werder Bremen,Home,89,89,4,3,1,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive,
2016-17,Champions League,GR-1,1,2016-09-14,Legia Warsaw,Away,7,7,1,0,1,Mario,Götze,Dembélé,Dembélé,Schmelzer,,gotze,dembele,dembele,schmelzer,inactive,
2016-17,Champions League,GR-1,1,2016-09-14,Legia Warsaw,Away,15,15,2,0,2,Sokratis,Papastathopoulos,Guerreiro,Guerreiro,,No Second Assist (Guerreiro free kick),papastathopoulos,guerreiro,guerreiro,,inactive,
2016-17,Champions League,GR-1,1,2016-09-14,Legia Warsaw,Away,17,17,3,0,3,Marc,Bartra,Schmelzer,Schmelzer,Aubameyang,Aubameyang shot saved and fell to Schmelzer,bartra,schmelzer,schmelzer,aubameyang,inactive,
2016-17,Champions League,GR-1,1,2016-09-14,Legia Warsaw,Away,51,51,4,0,4,Raphaël,Guerreiro,,Dembélé,Aubameyang,No Official Assist (Dembélé shot blocked and fell to Guerreiro),guerreiro,,dembele,aubameyang,active,
2016-17,Champions League,GR-1,1,2016-09-14,Legia Warsaw,Away,76,76,5,0,5,Gonzalo,Castro,Pulisic,Pulisic,Mor,,castro,pulisic,pulisic,mor,inactive,
2016-17,Champions League,GR-1,1,2016-09-14,Legia Warsaw,Away,87,87,6,0,6,Pierre-Emerick,Aubameyang,Castro,Castro,,,aubameyang,castro,castro,,inactive,incomplete
2016-17,Champions League,GR-2,2,2016-09-27,Real Madrid,Home,43,43,1,1,0,Pierre-Emerick,Aubameyang,,Guerreiro,,No Official Assist (Guerreiro shot saved and fell to Aubameyang); No Second Assist (Guerreiro free kick),aubameyang,,guerreiro,,inactive,
2016-17,Champions League,GR-2,2,2016-09-27,Real Madrid,Home,87,87,2,2,0,André,Schürrle,,Pulisic,Piszczek,No Official Assist (Pulisic cross blocked and fell to Schürrle),schurrle,,pulisic,piszczek,inactive,
2016-17,Champions League,GR-3,3,2016-10-18,Sporting CP,Away,9,9,1,0,1,Pierre-Emerick,Aubameyang,Götze,Götze,,No Second Assist (Götze won the ball),aubameyang,gotze,gotze,,inactive,
2016-17,Champions League,GR-3,3,2016-10-18,Sporting CP,Away,43,43,2,0,2,Julian,Weigl,,,,No Assists (Weigl won loose ball),weigl,,,,inactive,
2016-17,Champions League,GR-4,4,2016-11-02,Sporting CP,Home,12,12,1,0,1,Adrián,Ramos,Ginter,Ginter,Götze,,ramos,ginter,ginter,gotze,inactive,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,17,17,1,1,0,Shinji,Kagawa,Dembélé,Dembélé,Rode,,kagawa,dembele,dembele,rode,inactive,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,18,18,2,1,1,Shinji,Kagawa,Dembélé,Dembélé,Ginter,Combination Ginter to Kagawa to Dembélé to Kagawa),kagawa,dembele,dembele,ginter,inactive,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,20,20,3,1,2,Nuri,Şahin,,Reus,,No Official Assist (Reus shot deflected off keeper to Şahin); No Second Assist (Reus free kick),sahin,,reus,,inactive,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,29,29,4,2,2,Ousmane,Dembélé,Reus,Reus,Şahin,,dembele,reus,reus,sahin,inactive,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,32,32,5,2,3,Marco,Reus,Kagawa,Kagawa,Şahin,,reus,kagawa,kagawa,sahin,active,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,52,52,6,2,4,Marco,Reus,Dembélé,Dembélé,Castro,,reus,dembele,dembele,castro,active,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,81,81,7,3,4,Felix,Passlack,,Schürrle,Pulisic,No Official Assist (Schürrle shot saved and fell to Passlack),passlack,,schurrle,pulisic,active,
2016-17,Champions League,GR-5,5,2016-11-22,Legia Warsaw,Home,90+2,90.2,8,4,4,Marco,Reus,,Aubameyang,Schürrle,Own Goal awarded to Reus,reus,,aubameyang,schurrle,active,
2016-17,Champions League,GR-6,6,2016-12-07,Real Madrid,Away,60,60,1,2,-1,Pierre-Emerick,Aubameyang,,Schmelzer,Weigl,No Official Assist (Unsure why),aubameyang,,schmelzer,weigl,inactive,
2016-17,Champions League,GR-6,6,2016-12-07,Real Madrid,Away,88,88,2,2,0,Marco,Reus,Aubameyang,Aubameyang,Mor,,reus,aubameyang,aubameyang,mor,active,
2016-17,Champions League,R16-2,8,2017-03-08,Benfica,Home,4,4,1,0,1,Pierre-Emerick,Aubameyang,Pulisic,Pulisic,Dembélé,,aubameyang,pulisic,pulisic,dembele,inactive,
2016-17,Champions League,R16-2,8,2017-03-08,Benfica,Home,59,59,2,0,2,Christian,Pulisic,Piszczek,Piszczek,Weigl,,pulisic,piszczek,piszczek,weigl,inactive,
2016-17,Champions League,R16-2,8,2017-03-08,Benfica,Home,61,61,3,0,3,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Weigl,,aubameyang,schmelzer,schmelzer,weigl,inactive,
2016-17,Champions League,R16-2,8,2017-03-08,Benfica,Home,85,85,4,0,4,Pierre-Emerick,Aubameyang,Durm,Durm,Castro,,aubameyang,durm,durm,castro,inactive,
2016-17,Champions League,QF-1,9,2017-04-12,AS Monaco,Home,57,57,1,2,-1,Ousmane,Dembélé,Kagawa,Kagawa,Aubameyang,,dembele,kagawa,kagawa,aubameyang,inactive,
2016-17,Champions League,QF-1,9,2017-04-12,AS Monaco,Home,84,84,2,3,-1,Shinji,Kagawa,Şahin,Şahin,,No Second Assist (Şahin wins loose ball),kagawa,sahin,sahin,,inactive,
2016-17,Champions League,QF-2,10,2017-04-19,AS Monaco,Away,48,48,1,2,-1,Marco,Reus,Dembélé,Dembélé,,,reus,dembele,dembele,,active,incomplete
2016-17,DFB-Pokal,R1,1,2016-08-22,Trier,Away,8,8,1,0,1,Shinji,Kagawa,Aubameyang,Aubameyang,Schürrle,,kagawa,aubameyang,aubameyang,schurrle,inactive,
2016-17,DFB-Pokal,R1,1,2016-08-22,Trier,Away,33,33,2,0,2,Shinji,Kagawa,Castro,Castro,Papastathopoulos,,kagawa,castro,castro,papastathopoulos,inactive,
2016-17,DFB-Pokal,R1,1,2016-08-22,Trier,Away,45,45,3,0,3,André,Schürrle,,Aubameyang,Dembélé,No Official Assist (Not sure why),schurrle,,aubameyang,dembele,inactive,
2016-17,DFB-Pokal,R2,2,2016-10-26,Union Berlin,Home,44,44,1,0,1,Jacob,Bruun Larsen,,Götze,Castro,Own Goal awarded to Bruun-Larsen,bruun-larsen,,gotze,castro,inactive,
2016-17,DFB-Pokal,R16,3,2017-02-08,Hertha Berlin,Home,47,47,1,0,1,Marco,Reus,Pulisic,Pulisic,Dembélé,,reus,pulisic,pulisic,dembele,active,
2016-17,DFB-Pokal,QF,4,2017-03-14,Lotte,Away,57,57,1,0,1,Christian,Pulisic,Dembélé,Dembélé,Guerreiro,,pulisic,dembele,dembele,guerreiro,inactive,
2016-17,DFB-Pokal,QF,4,2017-03-14,Lotte,Away,66,66,2,0,2,André,Schürrle,Guerreiro,Guerreiro,Kagawa,,schurrle,guerreiro,guerreiro,kagawa,inactive,
2016-17,DFB-Pokal,QF,4,2017-03-14,Lotte,Away,83,83,3,0,3,Marcel,Schmelzer,,,,No Assists (Schmelzer free kick),schmelzer,,,,active,
2016-17,DFB-Pokal,SF,5,2017-04-26,Bayern Munich,Away,19,19,1,0,1,Marco,Reus,Guerreiro,Guerreiro,,No Second Assist (Guerreiro won the ball),reus,guerreiro,guerreiro,,active,
2016-17,DFB-Pokal,SF,5,2017-04-26,Bayern Munich,Away,69,69,2,2,0,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Piszczek,,aubameyang,dembele,dembele,piszczek,inactive,
2016-17,DFB-Pokal,SF,5,2017-04-26,Bayern Munich,Away,74,74,3,2,1,Ousmane,Dembélé,Reus,Reus,Guerreiro,,dembele,reus,reus,guerreiro,inactive,
2016-17,DFB-Pokal,F,6,2017-05-27,Frankfurt,Neutral,8,8,1,0,1,Ousmane,Dembélé,Piszczek,Piszczek,Reus,,dembele,piszczek,piszczek,reus,inactive,
2016-17,DFB-Pokal,F,6,2017-05-27,Frankfurt,Neutral,67,67,2,1,1,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive,
